,id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
38751,63411,D36326,"Turner, Joseph Mallord William",artist,558,?Land’s End,c.1834,Watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1834,1856.0,support: 506 x 615 mm,506,615,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36326_8.jpg,http://www.tate.org.uk/art/artworks/turner-lands-end-d36326
38752,63412,D36327,"Turner, Joseph Mallord William",artist,558,?The Kent Coast from Folkestone Harbour to Dover,c.1829,Watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1829,1856.0,support: 373 x 555 mm,373,555,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36327_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-kent-coast-from-folkestone-harbour-to-dover-d36327
38753,63413,D36328,"Turner, Joseph Mallord William",artist,558,Three Studies. ?One for St Michael’s Mount,after c.1830,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1830,1856.0,support: 552 x 367 mm,552,367,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36328_8.jpg,http://www.tate.org.uk/art/artworks/turner-three-studies-one-for-st-michaels-mount-d36328
38754,63414,D36329,"Turner, Joseph Mallord William",artist,558,Palace of La Belle Gabrielle: Colour Beginning,?1829–32,Watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1829,1856.0,support: 352 x 508 mm,352,508,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36329_8.jpg,http://www.tate.org.uk/art/artworks/turner-palace-of-la-belle-gabrielle-colour-beginning-d36329
38760,63420,D36335,"Scott, Samuel",artist,480,Study of the Stern of a Barge,date not known,Graphite and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 181 x 324 mm,181,324,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36335_8.jpg,http://www.tate.org.uk/art/artworks/scott-study-of-the-stern-of-a-barge-d36335
38761,63421,D36336,"Scott, Samuel",artist,480,Study of the Stern of a Barge,date not known,Graphite and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 181 x 332 mm,181,332,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36336_8.jpg,http://www.tate.org.uk/art/artworks/scott-study-of-the-stern-of-a-barge-d36336
38762,63422,D36337,"Scott, Samuel",artist,480,Study of a Barge Seen from the Port Beam with a Second Study of the Bows (Above),date not known,Graphite and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 258 x 440 mm,258,440,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36337_8.jpg,http://www.tate.org.uk/art/artworks/scott-study-of-a-barge-seen-from-the-port-beam-with-a-second-study-of-the-bows-above-d36337
38763,63423,D36338,"Scott, Samuel",artist,480,Study of a Barge Seen from above the Starboard Quarter,date not known,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 200 x 363 mm,200,363,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36338_8.jpg,http://www.tate.org.uk/art/artworks/scott-study-of-a-barge-seen-from-above-the-starboard-quarter-d36338
38768,63428,D36343,"Dayes, Edward",artist,143,View of Hastings from the West,date not known,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 282 x 350 mm,282,350,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36343_8.jpg,http://www.tate.org.uk/art/artworks/dayes-view-of-hastings-from-the-west-d36343
38769,63429,D36344,"Dayes, Edward",artist,143,View of Hastings from the East,date not known,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 306 x 367 mm,306,367,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36344_8.jpg,http://www.tate.org.uk/art/artworks/dayes-view-of-hastings-from-the-east-d36344
38770,63430,D36345,"Dayes, Edward",artist,143,Southampton Harbour,date not known,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 315 x 390 mm,315,390,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36345_8.jpg,http://www.tate.org.uk/art/artworks/dayes-southampton-harbour-d36345
38771,63431,D36346,"Dayes, Edward",artist,143,Southampton from the Grounds of Cranbury Park,date not known,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 193 x 267 mm,193,267,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36346_8.jpg,http://www.tate.org.uk/art/artworks/dayes-southampton-from-the-grounds-of-cranbury-park-d36346
38772,63432,D36347,"Dayes, Edward",artist,143,"Cliffs in Freshwater Bay, Isle of Wight",date not known,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 227 x 286 mm,227,286,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36347_8.jpg,http://www.tate.org.uk/art/artworks/dayes-cliffs-in-freshwater-bay-isle-of-wight-d36347
38773,63433,D36348,"Dayes, Edward",artist,143,"View of Freshwater Bay, Isle of Wight",date not known,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 273 x 351 mm,273,351,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36348_8.jpg,http://www.tate.org.uk/art/artworks/dayes-view-of-freshwater-bay-isle-of-wight-d36348
38774,63434,D36349,"Dayes, Edward",artist,143,"A House, Fence and Cliff at Undercliff, Isle of Wight",date not known,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 305 x 353 mm,305,353,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36349_8.jpg,http://www.tate.org.uk/art/artworks/dayes-a-house-fence-and-cliff-at-undercliff-isle-of-wight-d36349
38775,63435,D36350,"Dayes, Edward",artist,143,Shipping on a River with Houses and Distant Mountains (?in South Wales),date not known,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 245 x 334 mm,245,334,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36350_8.jpg,http://www.tate.org.uk/art/artworks/dayes-shipping-on-a-river-with-houses-and-distant-mountains-in-south-wales-d36350
38776,63436,D36351,"Dayes, Edward",artist,143,Castle Ruins among Trees on a Hill (?Ludlow),date not known,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 222 x 284 mm,222,284,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36351_8.jpg,http://www.tate.org.uk/art/artworks/dayes-castle-ruins-among-trees-on-a-hill-ludlow-d36351
38777,63437,D36352,"Dayes, Edward",artist,143,"Bedlam Furnace, Coalbrookdale",date not known,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 316 x 440 mm,316,440,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36352_8.jpg,http://www.tate.org.uk/art/artworks/dayes-bedlam-furnace-coalbrookdale-d36352
38778,63438,D36353,"Dayes, Edward",artist,143,A House and Shed with a Man Chopping Wood,date not known,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 323 x 552 mm,323,552,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36353_8.jpg,http://www.tate.org.uk/art/artworks/dayes-a-house-and-shed-with-a-man-chopping-wood-d36353
38779,63439,D36354,"Dayes, Edward",artist,143,"View across a Lake with Hills Beyond, Probably in the Lake District",date not known,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 268 x 400 mm,268,400,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36354_8.jpg,http://www.tate.org.uk/art/artworks/dayes-view-across-a-lake-with-hills-beyond-probably-in-the-lake-district-d36354
38780,63440,D36355,"Turner, Joseph Mallord William",artist,558,"Conwy, North Wales, from the East, with Allt-Wen in the Distance",c.1796,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1796,1856.0,support: 277 x 392 mm,277,392,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36355_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-conwy-north-wales-from-the-east-with-allt-wen-in-the-distance-d36355
38781,63441,D36356,"De Loutherbourg, Philip James",artist,145,"Study of Rocks on Clifton Down, Bristol",1786 or 1800,"Pen and ink, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1786,1856.0,support: 80 x 124 mm,80,124,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36356_8.jpg,http://www.tate.org.uk/art/artworks/de-loutherbourg-study-of-rocks-on-clifton-down-bristol-d36356
38783,63443,D36358,"De Loutherbourg, Philip James",artist,145,Study of Smoking Kiln,1786 or 1800,"Pen and ink, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1786,1856.0,support: 80 x 124 mm,80,124,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36358_8.jpg,http://www.tate.org.uk/art/artworks/de-loutherbourg-study-of-smoking-kiln-d36358
38784,63444,D36359,"De Loutherbourg, Philip James",artist,145,"Part of the Avon Gorge at Clifton, with a Kiln on the Cliff Edge",1786 or 1800,"Pen and ink, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1786,1856.0,support: 80 x 124 mm,80,124,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36359_8.jpg,http://www.tate.org.uk/art/artworks/de-loutherbourg-part-of-the-avon-gorge-at-clifton-with-a-kiln-on-the-cliff-edge-d36359
38785,63445,D36360,"De Loutherbourg, Philip James",artist,145,View of Woods and Hills across the Avon Gorge at Clifton,1786 or 1800,"Pen and ink, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1786,1856.0,support: 80 x 124 mm,80,124,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36360_8.jpg,http://www.tate.org.uk/art/artworks/de-loutherbourg-view-of-woods-and-hills-across-the-avon-gorge-at-clifton-d36360
38810,63470,D36385,"De Loutherbourg, Philip James",artist,145,A Stone Cottage among Rocks,1786 or 1800,"Pen and ink, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1786,1856.0,support: 77 x 112 mm,77,112,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36385_8.jpg,http://www.tate.org.uk/art/artworks/de-loutherbourg-a-stone-cottage-among-rocks-d36385
38826,63486,D36401,"De Loutherbourg, Philip James",artist,145,"A Windmill, with Cottages among Trees",1786 or 1800,"Pen and ink, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1786,1856.0,support: 80 x 120 mm,80,120,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36401_8.jpg,http://www.tate.org.uk/art/artworks/de-loutherbourg-a-windmill-with-cottages-among-trees-d36401
38832,63492,D36407,"De Loutherbourg, Philip James",artist,145,"The Boiler House and Casting House of a Furnace, Probably Bedlam Furnace, at Coalbrookdale",1786 or 1800,"Pen and ink, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1786,1856.0,support: 73 x 95 mm,73,95,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36407_8.jpg,http://www.tate.org.uk/art/artworks/de-loutherbourg-the-boiler-house-and-casting-house-of-a-furnace-probably-bedlam-furnace-at-d36407
38833,63493,D36408,"De Loutherbourg, Philip James",artist,145,"An Iron Foundry, Madeley Wood, Coalbrookdale",1786 or 1800,"Pen and ink, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1786,1856.0,support: 80 x 125 mm,80,125,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36408_8.jpg,http://www.tate.org.uk/art/artworks/de-loutherbourg-an-iron-foundry-madeley-wood-coalbrookdale-d36408
38836,63496,D36411,"De Loutherbourg, Philip James",artist,145,"The River Teign at Teignmouth, Looking East",1786 or 1800,"Pen and ink, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1786,1856.0,support: 73 x 95 mm,73,95,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36411_8.jpg,http://www.tate.org.uk/art/artworks/de-loutherbourg-the-river-teign-at-teignmouth-looking-east-d36411
38837,63497,D36412,"De Loutherbourg, Philip James",artist,145,"The Mouth of the River Teign at Teignmouth, with Shipping",1786 or 1800,"Pen and ink, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1786,1856.0,support: 74 x 100 mm,74,100,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36412_8.jpg,http://www.tate.org.uk/art/artworks/de-loutherbourg-the-mouth-of-the-river-teign-at-teignmouth-with-shipping-d36412
38838,63498,D36413,"De Loutherbourg, Philip James",artist,145,"View from the North Shore of the Teign Estuary, with the Sea in the Distance and Part of Teignmouth",1786 or 1800,"Pen and ink, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1786,1856.0,support: 74 x 111 mm,74,111,,mm,,,http://www.tate.org.uk/art/images/work/D/D36/D36413_8.jpg,http://www.tate.org.uk/art/artworks/de-loutherbourg-view-from-the-north-shore-of-the-teign-estuary-with-the-sea-in-the-d36413
38839,63499,D36414,"Turner, Joseph Mallord William",artist,558,The Capuchin Convent near Nemi,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36414_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-the-capuchin-convent-near-nemi-d36414
38840,63500,D36415,"Turner, Joseph Mallord William",artist,558,Between Rome and Albano,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36415_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-between-rome-and-albano-d36415
38841,63501,D36416,"Turner, Joseph Mallord William",artist,558,Rome: A Ruin on the Palatine Hill,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36416_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-rome-a-ruin-on-the-palatine-hill-d36416
38842,63502,D36417,"Turner, Joseph Mallord William",artist,558,Rome: Part of the Ruins of Nero’s Palace,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36417_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-rome-part-of-the-ruins-of-neros-palace-d36417
38843,63503,D36418,"Turner, Joseph Mallord William",artist,558,The Convent at Monte Cavo,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36418_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-the-convent-at-monte-cavo-d36418
38844,63504,D36419,"Turner, Joseph Mallord William",artist,558,"The Tomb of Plautus, near Tivoli",c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36419_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-the-tomb-of-plautus-near-tivoli-d36419
38845,63505,D36420,"Turner, Joseph Mallord William",artist,558,The Tomb of the Horatii and Curatii,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36420_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-the-tomb-of-the-horatii-and-curatii-d36420
38846,63506,D36421,"Turner, Joseph Mallord William",artist,558,A Hermitage at Albano,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36421_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-a-hermitage-at-albano-d36421
38847,63507,D36422,"Turner, Joseph Mallord William",artist,558,The Temple of Venus in the Bay of Baiae,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36422_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-the-temple-of-venus-in-the-bay-of-baiae-d36422
38848,63508,D36423,"Turner, Joseph Mallord William",artist,558,Rome: The Domus Aurea of Nero,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36423_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-rome-the-domus-aurea-of-nero-d36423
38849,63509,D36424,"Turner, Joseph Mallord William",artist,558,Rome: Part of the Ruins of the Domus Aurea of Nero,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36424_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-rome-part-of-the-ruins-of-the-domus-aurea-of-nero-d36424
38850,63510,D36425,"Turner, Joseph Mallord William",artist,558,Nemi: Buildings and Cliffs beside the River,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36425_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-nemi-buildings-and-cliffs-beside-the-river-d36425
38851,63511,D36426,"Turner, Joseph Mallord William",artist,558,Rome: Ruins on the Palatine Hill,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36426_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-rome-ruins-on-the-palatine-hill-d36426
38852,63512,D36427,"Turner, Joseph Mallord William",artist,558,Rome: A Road under a Ruined Archway on the Palatine Hill,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36427_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-rome-a-road-under-a-ruined-archway-on-the-palatine-hill-d36427
38853,63513,D36428,"Turner, Joseph Mallord William",artist,558,Rome: Ruins on the Palatine Hill,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36428_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-rome-ruins-on-the-palatine-hill-d36428
38854,63514,D36429,"Turner, Joseph Mallord William",artist,558,Rome: Buildings on the Palatine Hill,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36429_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-rome-buildings-on-the-palatine-hill-d36429
38855,63515,D36430,"Turner, Joseph Mallord William",artist,558,A Ruined Building on the Road to Albano,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36430_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-a-ruined-building-on-the-road-to-albano-d36430
38856,63516,D36431,"Turner, Joseph Mallord William",artist,558,A Ruined Building between Rome and Albano,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36431_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-a-ruined-building-between-rome-and-albano-d36431
38857,63517,D36432,"Turner, Joseph Mallord William",artist,558,A Ruined Building at Albano,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36432_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-a-ruined-building-at-albano-d36432
38858,63518,D36433,"Turner, Joseph Mallord William",artist,558,Ruined Buildings at Albano,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36433_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-ruined-buildings-at-albano-d36433
38859,63519,D36434,"Turner, Joseph Mallord William",artist,558,Rome: Buildings on the Palatine Hill,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36434_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-rome-buildings-on-the-palatine-hill-d36434
38860,63520,D36435,"Turner, Joseph Mallord William",artist,558,A Convent at Nemi,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36435_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-a-convent-at-nemi-d36435
38861,63521,D36436,"Turner, Joseph Mallord William",artist,558,A Convent at Monte Cavo,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36436_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-a-convent-at-monte-cavo-d36436
38862,63522,D36437,"Turner, Joseph Mallord William",artist,558,Rome: The Domus Aurea,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36437_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-rome-the-domus-aurea-d36437
38863,63523,D36438,"Turner, Joseph Mallord William",artist,558,Tivoli: The Temple of Bacchus,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36438_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-tivoli-the-temple-of-bacchus-d36438
38864,63524,D36439,"Turner, Joseph Mallord William",artist,558,A Ruined Building,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36439_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-a-ruined-building-d36439
38865,63525,D36440,"Turner, Joseph Mallord William",artist,558,The Tomb of the Horatii and Curiatii,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36440_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-the-tomb-of-the-horatii-and-curiatii-d36440
38866,63526,D36441,"Turner, Joseph Mallord William",artist,558,A Fort on a Cliff by the Sea,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36441_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-a-fort-on-a-cliff-by-the-sea-d36441
38867,63527,D36442,"Turner, Joseph Mallord William",artist,558,Rome: St Peter’s Seen from the Pincian Hill,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36442_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-rome-st-peters-seen-from-the-pincian-hill-d36442
38868,63528,D36443,"Turner, Joseph Mallord William",artist,558,Part of the Ponte Molle,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36443_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-part-of-the-ponte-molle-d36443
38869,63529,D36444,"Turner, Joseph Mallord William",artist,558,The Ponte Molle,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36444_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-the-ponte-molle-d36444
38870,63530,D36445,"Turner, Joseph Mallord William",artist,558,The Ponte Molle,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36445_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-the-ponte-molle-d36445
38871,63531,D36446,"Turner, Joseph Mallord William",artist,558,A Large Building by a River or Lake with Steps Leading down to the Water,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36446_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-a-large-building-by-a-river-or-lake-with-steps-leading-down-to-the-water-d36446
38872,63532,D36447,"Turner, Joseph Mallord William",artist,558,A Group of Buildings on a Low Cliff,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36447_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-a-group-of-buildings-on-a-low-cliff-d36447
38873,63533,D36448,"Turner, Joseph Mallord William",artist,558,A Temple at Tossa,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36448_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-a-temple-at-tossa-d36448
38874,63534,D36449,"Turner, Joseph Mallord William",artist,558,Tivoli: The Temple of the Sibyl Seen from Below,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36449_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-tivoli-the-temple-of-the-sibyl-seen-from-below-d36449
38875,63535,D36450,"Turner, Joseph Mallord William",artist,558,Nemi: A Gateway into the Town,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36450_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-nemi-a-gateway-into-the-town-d36450
38876,63536,D36451,"Turner, Joseph Mallord William",artist,558,A Fortification on Rocks by the Sea,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36451_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-a-fortification-on-rocks-by-the-sea-d36451
38877,63537,D36452,"Turner, Joseph Mallord William",artist,558,Ariccia: The Church of Santa Maria,c.1794–8,Ink wash and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36452_8.jpg,http://www.tate.org.uk/art/artworks/turner-girtin-ariccia-the-church-of-santa-maria-d36452
